method,generated_complexity,true_min_complexity,num_trials,success_rate,avg_steps_success,avg_steps_all,avg_reward,wallclock_sec
greedy_1step,5,-1,50,0.18,1.3333333333333333,6.8,1.23536,0.9414479732513428
greedy_1step,6,-1,50,0.22,1.3636363636363635,6.54,1.6627800000000001,0.0
greedy_1step,7,-1,50,0.28,1.5714285714285714,6.2,2.339856666666667,0.0
greedy_1step,8,-1,50,0.22,1.3636363636363635,6.54,1.6872766666666665,0.0
uniform_mcts_32,5,-1,50,0.54,2.7037037037037037,5.14,5.057356666666667,14.088134050369263
uniform_mcts_32,6,-1,50,0.46,2.6956521739130435,5.56,4.207046666666667,0.0
uniform_mcts_32,7,-1,50,0.54,3.111111111111111,5.36,5.0598833333333335,0.0
uniform_mcts_32,8,-1,50,0.42,3.1904761904761907,5.98,3.8379466666666673,0.0
factor_mcts_32,5,-1,50,0.86,3.2790697674418605,3.94,11.164813333333337,40.52173686027527
factor_mcts_32,6,-1,50,0.8,3.275,4.22,9.700423333333333,0.0
factor_mcts_32,7,-1,50,0.66,3.0303030303030303,4.72,8.009083333333335,0.0
factor_mcts_32,8,-1,50,0.66,3.0303030303030303,4.72,8.232716666666665,0.0
beam_search_64,5,-1,50,0.96,2.6041666666666665,2.5,11.808683333333333,298.8059289455414
beam_search_64,6,-1,50,0.88,2.5681818181818183,2.48,10.662536666666668,0.0
beam_search_64,7,-1,50,0.92,2.760869565217391,2.74,10.984106666666667,0.0
beam_search_64,8,-1,50,0.86,2.883720930232558,2.82,10.53866,0.0
